Symptoms,Severity
fever and cold,Low
sore throat and cough,Low
mild headache,Low
runny nose and sneezing,Low
slight cough,Low
tiredness after work,Low
minor back pain,Low
itchy eyes and watery nose,Low
mild stomach upset,Low
occasional dizziness,Low
light sore throat,Low
mild fever at night,Low
small cut on hand,Low
dry cough,Low
little nausea after eating,Low
slight fatigue,Low
headache due to stress,Low
mild throat irritation,Low
temporary dizziness,Low
minor stomach pain,Low
chest pain and fainting,High
shortness of breath,High
unconscious and bleeding,High
severe abdominal pain,High
continuous vomiting,High
sharp chest pain,High
heavy bleeding from wound,High
loss of consciousness,High
severe burn injury,High
high fever and confusion,High
seizure and jerking movements,High
difficulty breathing,High
severe headache and blurred vision,High
extreme fatigue and pale skin,High
vomiting blood,High
sudden chest tightness,High
severe dehydration,High
rapid heartbeat with dizziness,High
persistent high fever for days,High
severe injury and heavy pain,High
mild headache,Low
severe difficulty breathing,High
slight nausea,Low
uncontrolled bleeding,High
occasional cough,Low
sudden loss of consciousness,High
dry skin,Low
stroke symptoms with slurred speech,High
stuffy nose,Low
severe allergic reaction with swelling,High
minor cut on finger,Low
suspected heart attack,High
mild sore throat,Low
seizure activity,High
slight dizziness,Low
severe head trauma from fall,High
paper cut,Low
difficulty breathing and blue lips,High
mild fever of 99°F,Low
high fever of 104°F with confusion,High
small bruise on arm,Low
major burns covering chest,High
occasional sneezing,Low
suspected stroke,High
mild muscle soreness,Low
severe abdominal pain and vomiting blood,High
slight fatigue,Low
multiple broken bones from accident,High
minor rash on hand,Low
anaphylactic shock,High
mild congestion,Low
heavy chest pain radiating to arm,High
small splinter,Low
diabetic emergency with altered consciousness,High
hiccups,Low
severe car accident injuries,High
itchy eyes,Low
suspected internal bleeding,High
minor ankle sprain,Low
severe dehydration with weak pulse,High
mild back pain,Low
drug overdose,High
hangnail,Low
gunshot wound,High
slight indigestion,Low
sudden paralysis on one side,High
minor sunburn,Low
massive hemorrhaging,High
occasional heartburn,Low
choking and cannot breathe,High
mild joint stiffness,Low
suspected meningitis with stiff neck,High
mosquito bite,Low
severe pneumonia with oxygen levels dropping,High
slight constipation,Low
compound fracture with bone exposed,High
mild seasonal allergies,Low
carbon monoxide poisoning,High
minor toothache,Low
severe sepsis,High
slight irritation in eye,Low
stab wound to torso,High
dry cough,Low
pulmonary embolism,High
mild gas pain,Low
aortic dissection symptoms,High
chapped lips,Low
acute kidney failure,High
slight bloating,Low
severe asthma attack not responding to inhaler,High
minor ear pain,Low
ruptured appendix,High
mild insomnia,Low
eclampsia during pregnancy,High
small cold sore,Low
spinal cord injury,High
occasional acid reflux,Low
ectopic pregnancy with severe pain,High
mild shin splint,Low
status epilepticus,High
slight hoarseness,Low
severe third-degree burns,High
minor wrist pain from typing,Low
acute respiratory distress syndrome,High
mild dandruff,Low
hypertensive crisis with blood pressure 220/130,High
slight toe pain,Low
ruptured brain aneurysm,High
minor sinus pressure,Low
massive trauma with multiple injuries,High
slight stomach cramps,Low
severe decompensated heart failure,High
mild tension headache,Low
toxic shock syndrome,High
small hangnail infection,Low
thyroid storm,High
occasional knee clicking,Low
acute pancreatitis,High
slight lower back stiffness,Low
perforated bowel,High
minor callus on foot,Low
severe preeclampsia,High
mild food sensitivity,Low
intracranial hemorrhage,High